Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
GRIPAP1,5,-1.5312075878643319,0.08105976254075561,0.25236889070129354
GRK1,6,-0.7440204311125892,0.21072841703373796,0.4662631343436957
GRK2,6,-0.6611240766280345,0.2301466841523488,0.4907165780951645
GRK3,6,-0.40175224920329267,0.2999818606925009,0.565970550154262
GRK4,6,0.12943417568385404,0.5104493551632384,0.7404796215735981
GRK5,6,-0.9168932112042429,0.17387980835281,0.4170735359367515
GRK5-IT1,6,-0.9168932112042429,0.17387980835281,0.4170735359367515
GRK6,6,-1.0352380078558696,0.15145651842588426,0.38470921841917133
GRM2,6,-1.9402458266295117,0.04616179482728953,0.16840107360546133
GRM6,6,-0.6283247442784248,0.23816386852260568,0.5007647849220238
GRM7,6,0.3245819797698485,0.6027990452958863,0.8048316127673694
GRM8,6,-0.91233564881823,0.17478893078602906,0.4180507853230416
GRN,6,-2.5877077647503497,0.016387527419344648,0.07535288608387815
GRP,6,-1.3498224749155565,0.1025917471598447,0.296377824750769
GRPEL1,6,-9.719863710291348,4.720138230819849e-102,9.319090095473793e-101
GRPEL2,6,0.31261045952055505,0.5972114898172571,0.8013946126188766
GRPR,5,0.27416841381058227,0.5791387888006447,0.7886934869809222
GRSF1,6,-5.159934637397539,4.5367499339471165e-06,3.8965575377921276e-05
GRTP1,6,-0.664852893577405,0.2292476434839785,0.48981733496965574
GRWD1,6,-9.668506161047041,3.764019536758086e-100,7.379793462792664e-99
GRXCR2,6,-0.4885909317041257,0.2747809570351394,0.5409117676921307
GS1-24F4.2,4,0.534669652236772,0.6958145167522634,0.8551415466459923
GSAP,6,1.207757262653164,0.9120278236592898,0.9621308763816386
GSC,6,-1.3366690732625561,0.10433476635142327,0.3000972183675125
GSC2,6,-1.2809865132638172,0.11199669284438693,0.3138337104118972
GSDMA,6,0.7134707312113796,0.7654038444798967,0.8903186694602846
GSDMB,6,1.0938720629339476,0.8847477731028004,0.9468673001526176
GSDMC,6,-0.03070767305106649,0.43722658976141554,0.6844826594942058
GSDMD,6,-1.5609047161645173,0.07795400945275158,0.24508347677612985
GSDME,6,0.10992667544794506,0.5012674990661352,0.733275320802667
GSE1,6,-0.8099177787738396,0.19610927722382981,0.4458202100552101
GSG1,6,0.15486558360647923,0.5224799705076619,0.7485629641007544
GSG1L,6,0.07380512773963957,0.48441114914390415,0.7209441630040649
GSK3A,6,-0.7027285580588567,0.2202541322874636,0.478401969266653
GSK3B,6,-0.0506407321044941,0.42857342715814956,0.677763186186092
GSKIP,6,2.303001087462846,0.9963422458135289,1.0
GSN,6,-1.643306373659459,0.06988575347866402,0.226976523582389
GSPT1,6,-3.474456545440326,0.003557517204424309,0.02146129808029231
GSPT2,6,-0.8238911880089714,0.19310014692395838,0.44173681789703917
GSR,6,0.8684266919707164,0.8186491838979457,0.9159977387380338
GSS,8,-1.0240148262388051,0.15348550105115072,0.38784477141975343
GSTA1,6,-3.432913870947987,0.0037490311209486217,0.022379109000875193
GSTA2,6,-3.5904029827495876,0.0030908385086380018,0.019117939148199356
GSTA3,6,-0.5193266893698648,0.26634817792690935,0.5329390544061465
GSTA4,6,-2.027630981265395,0.04044617324646273,0.1527202372697445
GSTCD,6,-2.185405520909346,0.03146679597994821,0.1255052046320316
GSTK1,6,0.37990421913601474,0.6282965562640697,0.8195473007571314
GSTM1,6,0.5599813509572448,0.7062280880988718,0.8614108024896854
GSTM2,6,-0.08377733115317842,0.4144783842556153,0.6670836654444667
GSTM4,6,0.9237822446172678,0.8361807275391953,0.9230420726123734
GSTM5,6,0.1287495691578033,0.5101263584484601,0.7401532355933423
GSTO1,5,1.2773086951769717,0.9263134114964181,0.9702899521897261
GSTP1,6,-5.322049708142877,5.446591518907044e-07,4.829115665686851e-06
GSTT2,7,-2.2056101305189735,0.030445939242384423,0.12258073319082988
GSTT2B,7,-2.2056101305189735,0.030445939242384423,0.12258073319082988
GSTZ1,6,-1.2647873663733944,0.11431246848024464,0.3181015649922663
GSX1,6,-0.1634742727815327,0.38219171424428994,0.6388020112584764
GSX2,6,-0.8954692108625729,0.1781827938467541,0.4236047822438832
GTDC1,6,-3.309194786404271,0.004457640375761771,0.025719667451846707
GTF2A1,6,-5.406227073165686,1.5453603510011715e-07,1.3932918164615034e-06
GTF2A1L,6,0.16540984239246254,0.5274829744755054,0.7525190229235121
GTF2A2,6,-10.124909627163,1.0412997146580197e-117,2.320090897495653e-116
GTF2B,6,-9.531502032853105,3.60467930667604e-95,6.849930494022941e-94
GTF2E1,6,-12.145045279454175,3.041909639988613e-213,1.951859097892693e-211
GTF2E2,6,-9.971116669669977,1.2582224627315014e-111,2.676668517864657e-110
GTF2F1,6,-11.296982259813314,1.3495278278872132e-169,5.109333038799807e-168
GTF2F2,6,-10.176916306212819,8.369782854158887e-120,1.903475472344558e-118
GTF2H1,6,-9.743635805557807,6.128446911051835e-103,1.2246359585755048e-101
GTF2H2,6,-6.500169377774885,4.433073492580206e-19,4.720411176393459e-18
GTF2H2B,6,-6.500169377774885,4.433073492580206e-19,4.720411176393459e-18
GTF2H2C,8,-9.226468276366278,1.4705168156013242e-84,2.630029305586332e-83
GTF2H3,6,-7.78401418155037,2.3991999270067097e-43,3.1758464941348696e-42
GTF2H4,5,-8.0434936558912,1.1402591731875965e-49,1.574768835758663e-48
GTF2H5,6,-4.0530221473247225,0.0014491852401791062,0.01006687096719145
GTF2I,6,-4.633582004901927,0.00031923980647825795,0.002498667839774183
GTF2IP1,6,-0.5452599863632905,0.259409678071949,0.5263566188640583
GTF2IP4,3,-1.3098815019789238,0.10796331233839555,0.30695999737357377
GTF2IRD1,6,0.648851659155913,0.7413110833556439,0.8789615394982955
GTF2IRD2,6,-2.286847639804761,0.02664597616642183,0.11060794517475207
GTF2IRD2B,8,-1.2040780465364131,0.12334350385638491,0.33520870004314285
GTF3A,5,-3.9797717247123785,0.0016730192822030975,0.01140133795661373
GTF3C1,6,-11.269894492069957,2.7531692319968187e-168,1.0246870721648424e-166
GTF3C2,6,-7.075841638532558,1.6115851630223413e-28,1.892439547047566e-27
GTF3C2-AS2,2,-5.453192913199733,7.295164551996217e-08,6.631754233721309e-07
GTF3C3,6,-13.253735864784355,4.9081703271668316e-278,1.0898895525370571e-275
GTF3C4,6,-6.330158276648639,9.725546068948931e-17,1.0126763275059943e-15
GTF3C5,6,-7.725855346192219,5.391896024454381e-42,7.080401404072553e-41
GTF3C6,6,-9.538536363713032,2.0154193823110755e-95,3.8446653718739174e-94
GTPBP1,6,-1.0339065667233664,0.15169616139163627,0.3850958558231095
GTPBP10,6,-5.303498667438432,7.084465245567557e-07,6.256044979810171e-06
GTPBP2,6,-1.816002553589588,0.05521157245805116,0.19146276653596508
GTPBP3,6,-2.7627286817571775,0.012208095336493831,0.05909100860522351
GTPBP4,6,-8.887551389118954,1.514335187065683e-73,2.473372421651165e-72
GTPBP8,6,-2.315437560027794,0.025424352964875552,0.10688395823119241
GTSCR1,6,0.21120565590510873,0.5492616461367208,0.7649593263617742
GTSE1,6,-2.6395118086247806,0.015061931175832235,0.0702215017287031
GTSF1,6,0.3235868412987698,0.6023354170655746,0.8046203027314942
GTSF1L,6,-0.018460114226662425,0.44260470831250615,0.689435287286743
GUCA1ANB-GUCA1A,6,0.322499260522416,0.6018285421993836,0.8044319418090524
GUCA1B,6,0.3663793643721545,0.6221173376115545,0.8157447547251295
GUCA1C,6,1.1255310841956256,0.8927934262108184,0.9506614483946338
GUCA2A,6,-1.8758454552241703,0.05071236608249133,0.18071195291891023
GUCA2B,6,-3.5327858875164257,0.0033135876387147944,0.020218768503709048
GUCD1,6,-2.35822244001192,0.023705844000699184,0.10129699351044713
GUCY1A1,5,-1.1030793618198969,0.13962156230836537,0.365339180375552
GUCY1A2,6,0.1955811105633356,0.5418268695396375,0.7610600670863286
GUCY1B1,6,0.3292092226042816,0.6049527650329187,0.8059973678953799
GUCY2C,6,-0.28482439717674324,0.33770119464177756,0.603530301462196
GUCY2D,6,-1.3687925102599559,0.10012249913462322,0.29142932110659403
GUCY2F,5,0.39305797093725653,0.6342688332140252,0.8234644482816664
GUF1,5,-0.7068601621967036,0.2192880762024697,0.47726102069309595
GUK1,5,-8.588990748419969,1.6023850406352555e-64,2.464430782729537e-63
GUSB,6,-2.0378488423193644,0.039811937460880145,0.15093100326863118
GVQW3,6,0.2358347929493607,0.5609734425777002,0.7741981945295453
GXYLT1,6,0.6356136009181405,0.736230185788465,0.87651788611494
GXYLT2,6,-1.3130885138217312,0.10752330995364885,0.30610532621923975
GYG1,6,-0.2794023926091756,0.3395685653039181,0.60551236633595
GYG2,6,-0.21673077472587546,0.36196521453696867,0.625471586508185
GYPA,8,-0.15546503406969786,0.3853285302977091,0.6418786028551605
GYPB,11,0.3621480758156206,0.6201764878547033,0.8150384312722769
GYPC,6,-2.202880418812347,0.030582104827915783,0.12299433001914929
GYPE,8,0.08013841424329976,0.4873507750461416,0.7228030995603985
GYS1,6,-4.66388457638958,0.0002761107014593231,0.0021748807464888813
GYS2,6,0.9752715672385679,0.851764210801006,0.9306399877300022
GZF1,6,-0.5395755413148028,0.2609172771117943,0.5280602301649145
GZMA,6,-0.8600699417033396,0.18545629246948997,0.43534537451888944
GZMB,6,1.0329219814846367,0.8683316509651863,0.9384956632262764
GZMH,6,-0.03521607179661382,0.43525844703694705,0.6827714511352256
GZMK,6,0.3038751935942159,0.5931211828659851,0.7985887596937352
GZMM,6,-1.859116156814765,0.051943105425031694,0.18344381567457138
H1-0,6,-1.4529490722735978,0.08979128519578794,0.27108847682926324
H1-1,6,-0.3337689760567605,0.3213334735935215,0.5868225245469354
H1-10,6,1.0339117701270604,0.8686075375143942,0.938664193126475
H1-2,6,-1.5717298801622377,0.07684893348472044,0.2423217246549847
H1-3,6,-0.405883987266314,0.2987326928546039,0.5650702726728117
H1-4,6,-0.9418923155622981,0.16895329260900363,0.40924426055052565
H1-5,6,0.82079486930854,0.80293854603514,0.9098856190262382
H1-6,6,0.8052472878022313,0.7976858198250882,0.9069179283455765
H1-7,6,-0.4314444134170319,0.29112081723784744,0.557479219417431
H1-8,6,0.4801569070906611,0.6727616361221948,0.8427199247112509
H2AB1,12,0.4453390871914217,0.6576065325089445,0.8341838279913704
H2AB2,12,0.4453390871914217,0.6576065325089445,0.8341838279913704
H2AB3,12,0.4453390871914217,0.6576065325089445,0.8341838279913704
H2AC1,6,-1.0421962990885971,0.15020875475107937,0.38269635427943555
H2AC11,6,0.29699212867009955,0.5898908860442026,0.7964110690390405
H2AC12,6,0.18886690347821478,0.5386325131312175,0.7587145988752328
H2AC13,8,0.6476021438611924,0.7408336490185659,0.8788375927813742
H2AC14,6,0.16180980200670686,0.5257740551871928,0.7514371313757949
H2AC15,6,0.6518220281959745,0.7424442619812525,0.8795115930738076
H2AC16,6,-0.7210388948063179,0.21599478324340404,0.47303910696358537
H2AC17,6,-0.823928489492924,0.193092156545628,0.44173681789703917
H2AC18,5,-0.1780163150479533,0.3765595211196483,0.6371528951958569
H2AC19,5,-0.1780163150479533,0.3765595211196483,0.6371528951958569
H2AC20,6,0.10380237972975584,0.498395142620786,0.7310757220822827
H2AC21,6,1.0132640926292442,0.8627913662072966,0.9363726397778585
H2AC25,6,-0.5023297541257021,0.2709824836658168,0.5368259444670773
H2AC4,6,-0.23815770101144249,0.3541381359669822,0.6191869432933448
H2AC6,6,-0.47883004264968787,0.2775090772856833,0.5429216068129494
H2AC7,7,0.5208762873498841,0.6900614962135936,0.8520358209214827
H2AC8,6,1.04462707904632,0.8715750916295097,0.9404312369444203
H2AJ,5,-0.5888389733376128,0.24808676323798318,0.512591605004941
H2AP,6,0.800802995300685,0.7961729986624527,0.9061196068278753
H2AX,6,-7.897579896198422,4.693326645759469e-46,6.340000991124018e-45
H2AZ1,6,-7.319924704895672,3.148261424328192e-33,3.871754233291727e-32
H2AZ2,6,-2.2070565208049118,0.030374012068046255,0.12247149531548907
H2BC1,6,0.2306499789668639,0.558509555795319,0.7723619306684549
H2BC10,6,-0.47688026153728713,0.2780570230925378,0.5435450986526039
H2BC11,6,-1.8838387717525857,0.05013152139853113,0.17941818453428915
H2BC12,6,-0.09319532913837897,0.41054155039771034,0.6639008804934088
H2BC12L,1,-1.0351853350930336,0.15146599344834144,0.38470921841917133
H2BC13,6,-0.5322575266683457,0.2628689928056768,0.5296385875780004
H2BC14,6,0.7404604388731154,0.7751276452318486,0.895392513447217
H2BC15,6,-0.12778277126446033,0.3963586345718499,0.6511192666932852
